RelationshipType,Source,Target
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-controller-manager-s390xv1220-alpha3
SPDXRef-Package-k8sgcriokube-apiserver-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-b7c426268b5c33a1892271db6aea227cabd9dd2f
SPDXRef-Package-k8sgcriokube-apiserver-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-b5d68f8e18ea9847a11529c14fde932f69be8b7a
SPDXRef-Package-k8sgcriokube-apiserver-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-c7768488ba44a2f90b599439f6ede80f15da839c
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-apiserver-amd64v1220-alpha3
SPDXRef-Package-k8sgcriokube-scheduler-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-b5d68f8e18ea9847a11529c14fde932f69be8b7a
SPDXRef-Package-k8sgcriokube-scheduler-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-af501974d02cfecd57ee0f1985bbe59b1538f5ea
SPDXRef-Package-k8sgcriokube-scheduler-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-b7c426268b5c33a1892271db6aea227cabd9dd2f
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-scheduler-amd64v1220-alpha3
SPDXRef-Package-k8sgcriokube-controller-manager-armv1220-alpha3,CONTAINS,SPDXRef-Package-f49aad0ad84255620a30cf27e966aa3af71797f5
SPDXRef-Package-k8sgcriokube-controller-manager-armv1220-alpha3,CONTAINS,SPDXRef-Package-4f71ee03e7c25c5985b657fd6ddf03a1fb817622
SPDXRef-Package-k8sgcriokube-controller-manager-armv1220-alpha3,CONTAINS,SPDXRef-Package-e0eadc6007955603fb3e2ee4fb3f0ad0f7c53214
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-controller-manager-armv1220-alpha3
SPDXRef-Package-k8sgcriokube-proxy-armv1220-alpha3,CONTAINS,SPDXRef-Package-78fec675ea8476937a72b84ba1a5dcd8d07c260b
SPDXRef-Package-k8sgcriokube-proxy-armv1220-alpha3,CONTAINS,SPDXRef-Package-b517179532a0d1b76278a9baa8f5edde51222e0b
SPDXRef-Package-k8sgcriokube-proxy-armv1220-alpha3,CONTAINS,SPDXRef-Package-c33d6f49439425b23930a3fdfc10759a5388f013
SPDXRef-Package-k8sgcriokube-proxy-armv1220-alpha3,CONTAINS,SPDXRef-Package-c1e11757845e3d570b46f81cd62b43ba9e6e7537
SPDXRef-Package-k8sgcriokube-proxy-armv1220-alpha3,CONTAINS,SPDXRef-Package-1f4ef0f260fafbfeb4d9eeea7a1ea142e3106a23
SPDXRef-Package-k8sgcriokube-proxy-armv1220-alpha3,CONTAINS,SPDXRef-Package-03b31c15c53fdb10463d03c0152d935117d69350
SPDXRef-Package-k8sgcriokube-proxy-armv1220-alpha3,CONTAINS,SPDXRef-Package-679d65f5a795a5ed9986b9b552cba82f87078571
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-proxy-armv1220-alpha3
SPDXRef-Package-k8sgcriokube-scheduler-armv1220-alpha3,CONTAINS,SPDXRef-Package-f49aad0ad84255620a30cf27e966aa3af71797f5
SPDXRef-Package-k8sgcriokube-scheduler-armv1220-alpha3,CONTAINS,SPDXRef-Package-4f71ee03e7c25c5985b657fd6ddf03a1fb817622
SPDXRef-Package-k8sgcriokube-scheduler-armv1220-alpha3,CONTAINS,SPDXRef-Package-58d7d69913e4f37d1abf42cacfa30928dc5827dc
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-scheduler-armv1220-alpha3
SPDXRef-Package-k8sgcrioconformance-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-a8aeaa0ca6a34c8810dc98b1fbf8d3fa7f2d0461
SPDXRef-Package-k8sgcrioconformance-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-16fb4fbea0307d074ffca98f805df6ab367701d9
